1,"@kokokdirgantoro never, kata mama hidup bukan perlombaan. pdhl sepupu pda nikah muda n mama tny "" km normal kan.? "" 😂 krn ak kliatan anteng bgt"
2,kenapa semua orang yang gua kenal pengen nikah muda? whyyyyyy!!!
3,"dulu waktu sekolah dipikiran mau nikah muda trs udah punya usaha sndiri, eh tau2 umur udah segini aja tapi hidup masih luntang lantung gini. duit berhamburan buat yg ga jelas. duhhhhh pengen kaya mendadak rasanya"
4,@urphoriaa nikah muda cita cita gue 😃💪🏻
5,"@namirasra ku juga mikir gitu😂 tapi hebat juga sii sama orang yang memilih nikah muda, yaa selama mereka emang dah siap jasmani,rohani, dan materi😂 daripada kebanyakan dosa kan yah, mending rabi ajahh, selama sudah siap 3 hal ituhhh"
6,@urphoriaa nikah muda
7,@urphoriaa nikah muda
8,@urphoriaa nikah muda
9,@urphoriaa nikah muda
10,@urphoriaa nikah muda
11,saran krisdayanti untuk aurel bila ingin nikah muda https://t.co/n02e5nx7ta
12,ldr atau nikah muda?
13,"apa yah yg dipikiran org2 yg nikah muda? ga kepikiran apa gitu nikmati masa lajang, cari duit, terus duitnya dinikmati, senang2 sama teman2, pergi sana sini tanpa minta izin, pokoknya nikmati masa bebas2 nya?"
14,"@askfess kalian yg pengen nikah muda, tiati suami kalian buta sex edu, trs nanya ke base🙃"
15,@yunikatrsn @unfaedaaah @dewepe_ @luluhusnaa @stevanyalf @ulfoo nikah muda ayo da
16,@hfwawa sekarang wanita sholehah itu dinilai saat nikah muda 😂😂😂😂
17,"tergantung masing-masing individunya sih. mungkin ada yg pro pacaran/nunda nikah dan ada jg mungkin yg lebih milih nikah muda. 

itu pilihan masing-masing orang sih."
18,"sarita abdul mukti sudah beri restu, shafa harris &amp; bastian steel bakal nikah muda?. https://t.co/a0e3jhfqzc"
19,"@farahnoudy kyoke si ibu iki depresi far, dia ada masalah sama suamine sampe dia teriak2 tengaj malem kyok maaf 'orang gila' dan dee sampe ngebentak anak kaya gitu. faktor nikah muda juga, mngkin pas nikah muda dia masih belum siap secara mental dan psikis. jd rentas terbawa emosi"
20,"temen - temen ge, sma cupu, lulus, kuliah di ptn sama univ bagus, kerja pada enak pns gampang, nikah pada uda, punya anak lucu-lucu...
lah gue? ngopi maning, maen uno msning 😑

tapi awet muda wkwkwkwk"
21,"sulawesi ini emang udah tradisi apa gimana sik, nikah muda, nikah incest pas muda pula, nikah sama kakek2. https://t.co/ey6ibrauhu"
22,"tetangga: nikah muda dikira hamil duluan, pacaran dikira nakal, ga pacaran dikira kurang bergaul, main pulang malam dikira anak ga bener, ga main dikira kurang bersosialisasi.

jangan dengerin! kita itu harus bener dimata agama dan negara bukan dimata tetangga!"
23,"nikah muda/mendadak : dibilang kecelakaan  
lama baru nikah : dibilang ngk laku
mahar banyak : dibilang jual anak 
mahar dikit : dibilang kebelet kewong 

emang dah tetangga gue rempong² banget 🙀 
entah gue nanti masuk kategori yg mana 😾"
24,"mengakhiri cinta dalam 3 episode.

mini series yg kece dan related banget sama kehidupan kinih. terutama yg udah nikah muda."
25,"📒asya story

ttg asya yg diperkosa oleh alex. tpi yg tanggung jawab malah fano, temen deket alex sendiri

critanya jujur aja bikin baper. g boong;( dan aku akhir"" ini bnyak baca story ttg hamil muda ato nikah muda

genre: romantis, teenfiction
link: https://t.co/lzzzuq5h0o https://t.co/6iq1m3avp6"
26,"orang orang yg nikah muda di umur 21/22/23 duitnya darimana ya, prepare dari smp gitu?"
27,kalian pengen nikah muda gak?
28,@tanketann susah beb nikah muda. sebenernya ya semua pasti ada cobaanya. tapi jangan dulu kalo belum siap. harus matang ya.
29,@rismaputeri pen nikah muda juga :)))
30,@dickflwr cita cita km nikah muda y😡
31,"klo gue pribadi, ga pengin terlalu buru buru buat nikah sih. masih pengin nikmatin masa muda dulu. karna gue mikir, pernikahan itu bukan cuma tentang hidup berdua sama dia. tp tentang kemantapan dan komitmen"
32,"@jovitafirst_ semangat ya njir kerjanya... cari bos muda dong, ajak nikah huahahhah
ya kali aja lo kepengen tau:("
33,@syubbiechubs ngapapa nikah muda aja
34,"pasangan yg nikah muda yg sering mengumbar kemesraan di story wa, ig itu biar apa? bikin envy jomblo² kyk @khoironimuhammd @robiulazz @maulanandy_ saja"
35,"@producexfess ini bapaknya pada nikah muda kali ya? wkwk
tag aing @kucing_nyasar"
36,"kalo gamau zina ya jangan zina bukannya nikah muda. kalo gamau selingkuh ya jangan selingkuh bukan poligami. 

semua ada solusi yg tepat. pikirkan lagi bagaimana kedepannya."
37,@askmenfess wkwkwkkwkwekeke nih cuy kalo mau nikah muda @meylinez
38,@jsaherudin jodoh ge masih poek hayang nikah muda
39,"saat itu gue masih amazed. dipikiran gue tuh yaa mau kerja dulu, trus disambi kuliah. masih pengin ketemu sm temen2. masih pengin nikmatin masa muda dulu lah. nikah masih jauh di awang awang"
40,"gue nanya ""emg gapapa ya nikah muda diumur segitu? soalnya kan jd ga bisa sebebas pas sebelum nikah. apa apa harus izin sama suami kan?"" 

dia senyum ""klo udh dijalanin ya enak aja."""
41,@anin_nugraheni ak bakal kabur nikah siri sm papa muda uwuuw
42,"@vang51296071 @ehsanodoy aminnnn. 
kamu juga ya. semoga sekolah nya bae2 ga pikirin nikah muda -_-"
43,oh man kenapa dulu gue pgn banget nikah muda
44,@ehsanodoy @nabilla_bee maunya nikah muda juga🙈😂
45,@wendy_wani @130800_jm mungkin dia nikah muda ..
46,yaallah ngapasi gue mimpi nikah muda + lgsg hamil
